Header_line;17
location;Oslo Norway
year_of_construction;1979
floor_area;8631
number_of_users;400
building_category;Sch
energy_label;B
dhw_heat_source;EB
sh_heat_source;ASHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8138

;Electricity import;Electricity use;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity imported ;Electricity for electric boiler;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElImp;ElBoil;Tout;SolGlob;WindSpd;WindDir;RH
2016-01-03T16:00:00+0100;169200.0;63200.0;-5.063330078124977;0.0;3.388104;68.25478;0.80932945
2016-01-03T17:00:00+0100;170800.0;62800.0;-5.186743164062477;0.0;3.0842657;70.06316;0.8189585
2016-01-03T18:00:00+0100;166400.0;62400.0;-5.371618652343727;0.0;2.822208;60.218204;0.8271523
2016-01-03T19:00:00+0100;173600.0;63600.0;-5.294256591796852;0.0;3.1642168;63.171474;0.8252303
2016-01-03T20:00:00+0100;151600.0;63600.0;-5.530767822265602;0.0;3.1412504;62.925922;0.8338041
2016-01-03T21:00:00+0100;120800.0;64800.0;-5.604650878906227;1.5965049498461382e-14;3.241861;68.03093;0.8427321
2016-01-03T22:00:00+0100;119200.0;63200.0;-5.673376464843727;1.597294056280655e-14;2.799663;59.57051;0.8452486
2016-01-03T23:00:00+0100;116800.0;64800.0;-5.896032714843727;1.5965034078697157e-14;2.6744022;64.17052;0.8421967
2016-01-04T00:00:00+0100;119600.0;63600.0;-6.002203369140602;1.5980796932682198e-14;2.3502514;67.185974;0.8437387
2016-01-04T01:00:00+0100;121200.0;65200.0;-6.094122314453102;1.5980858611739123e-14;2.61093;69.971504;0.8509719
2016-01-04T02:00:00+0100;116400.0;64400.00000000001;-6.260565185546852;1.5980858611739123e-14;2.572552;60.07187;0.85086507
2016-01-04T03:00:00+0100;121200.0;65200.0;-6.420751953124977;1.5992681715963168e-14;2.5012114;55.18087;0.85930294
2016-01-04T04:00:00+0100;120000.0;64000.0;-6.334875488281227;1.599662532066522e-14;2.3873856;67.22258;0.84538627
2016-01-04T05:00:00+0100;120000.0;64000.0;-6.434179687499977;1.5996613755842052e-14;2.630637;53.37386;0.85678464
2016-01-04T06:00:00+0100;130400.0;74400.0;-6.407995605468727;1.5996586771254644e-14;2.7023818;60.702034;0.85573196
2016-01-04T07:00:00+0100;183200.0;117200.0;-6.427984619140602;-9.596391582612621e-14;2.7433171;57.8411;0.8523902
2016-01-04T08:00:00+0100;288800.0;196800.0;-6.258917236328102;0.0;2.647131;55.401356;0.852024
2016-01-04T09:00:00+0100;295200.0;175200.0;-6.262091064453102;6.0088888888888885;2.385291;54.601166;0.8466683
2016-01-04T10:00:00+0100;298000.0;174000.0;-6.479498291015602;32.18666666666667;2.6740294;59.450184;0.83066064
2016-01-04T11:00:00+0100;294000.0;174000.0;-6.181616210937477;78.65777777777778;3.177635;60.980747;0.8110536
2016-01-04T12:00:00+0100;290000.0;172000.0;-5.999212646484352;96.46222222222222;3.1904058;60.9175;0.81154126
2016-01-04T13:00:00+0100;294800.0;172800.0;-5.962927246093727;70.08;2.7153702;69.77711;0.7951693
2016-01-04T14:00:00+0100;292000.0;168000.0;-6.069158935546852;22.06222222222222;2.9781466;73.930374;0.788837
2016-01-04T15:00:00+0100;247200.0;115200.0;-6.226293945312477;0.7022222222222222;3.1669574;63.31704;0.8029365
2016-01-04T16:00:00+0100;246800.0;116800.0;-6.414953613281227;-0.0088888888888888;2.9453213;72.60229;0.78209025
2016-01-04T17:00:00+0100;232800.0;106800.0;-6.357855224609352;0.0;3.0402167;65.54711;0.78131294
2016-01-04T18:00:00+0100;229600.0;109600.0;-6.754705810546852;0.0;3.168564;61.595074;0.7739284
2016-01-04T19:00:00+0100;233600.0;111600.0;-6.930944824218727;0.0;2.7391737;57.227615;0.80470556
2016-01-04T20:00:00+0100;208400.0;108400.0;-6.951849365234352;0.0;2.6949542;35.3999;0.8105488
2016-01-04T21:00:00+0100;183200.0;113200.0;-6.966772460937477;1.6320320866341434e-14;2.4809167;41.39604;0.80507123
2016-01-04T22:00:00+0100;171600.0;111600.0;-7.322302246093727;1.632031315645932e-14;3.030429;47.812317;0.77594197
2016-01-04T23:00:00+0100;163200.0;113200.0;-7.174444580078102;1.6328204220804486e-14;2.749343;45.875423;0.7801845
2016-01-05T00:00:00+0100;162400.0;112400.0;-7.198309326171852;1.63202784619898e-14;2.66334;39.77161;0.7827179
2016-01-05T01:00:00+0100;162400.0;112400.0;-7.232214355468727;1.6328235060332947e-14;2.8477435;43.137123;0.7800171
2016-01-05T02:00:00+0100;164400.0;114400.0;-7.234777832031227;1.6320340141046726e-14;3.0361829;45.30363;0.781315
2016-01-05T03:00:00+0100;159600.0;113600.0;-7.120672607421852;1.6328215785627662e-14;2.9072123;39.684067;0.7806134
2016-01-05T04:00:00+0100;160800.0;112800.0;-7.285192871093727;1.6328208075745543e-14;2.1169577;37.591595;0.7555126
2016-01-05T05:00:00+0100;162400.0;112400.0;-7.178717041015602;1.6320309301518262e-14;2.180484;41.136623;0.7589301
2016-01-05T06:00:00+0100;181600.0;123600.0;-7.488714599609352;1.6328173381276026e-14;2.2405636;27.198519;0.7505543
2016-01-05T07:00:00+0100;218000.0;140000.0;-7.549841308593727;-9.79613304055407e-14;2.2976556;33.424442;0.74347407
2016-01-05T08:00:00+0100;306400.0;188400.0;-7.597082519531227;0.0;2.167877;30.983992;0.7511648
2016-01-05T09:00:00+0100;348800.0;186800.0;-7.664526367187477;7.031111111111112;1.9206787;29.923477;0.77063495
2016-01-05T10:00:00+0100;337200.0;179200.0;-7.001745605468727;50.94222222222222;2.6163845;27.853205;0.7682848
2016-01-05T11:00:00+0100;340400.0;180400.0;-6.635229492187477;89.88444444444444;2.2976677;25.550787;0.76155514
2016-01-05T12:00:00+0100;325200.0;171200.0;-6.401556396484352;102.18666666666668;2.1521;27.959297;0.73996365
2016-01-05T13:00:00+0100;325200.0;167200.0;-5.588171386718727;83.60888888888888;1.9615005;36.86978;0.72633785
2016-01-05T14:00:00+0100;312800.0;160800.0;-5.873968505859352;40.24888888888889;1.8517478;48.646896;0.7221262
2016-01-05T15:00:00+0100;256000.0;116000.0;-6.214239501953102;2.026666666666667;2.4179826;42.21353;0.74432653
